Date,Symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-19,BIV,88.51000213623047,88.70999908447266,88.47000122070312,88.61000061035156,1220300,0.0,0
2021-03-22,BIV,88.73999786376953,88.88999938964844,88.69999694824219,88.81999969482422,1063800,0.0,0
2021-03-23,BIV,88.91999816894531,89.11000061035156,88.87000274658203,89.11000061035156,801500,0.0,0
2021-03-24,BIV,88.97000122070312,89.16999816894531,88.94000244140625,89.12000274658203,894800,0.0,0
2021-03-25,BIV,89.25,89.2699966430664,89.0,89.18000030517578,825400,0.0,0
2021-03-26,BIV,89.0,89.12000274658203,88.93000030517578,88.91999816894531,787896,0.0,0
2021-03-19,BLV,96.37999725341797,96.81999969482422,96.26000213623047,96.81999969482422,271700,0.0,0
2021-03-22,BLV,97.30000305175781,97.75,97.11000061035156,97.63999938964844,354900,0.0,0
2021-03-23,BLV,97.73999786376953,98.18000030517578,97.5199966430664,98.18000030517578,254500,0.0,0
2021-03-24,BLV,97.93000030517578,98.73999786376953,97.88999938964844,98.69999694824219,189000,0.0,0
2021-03-25,BLV,98.72000122070312,98.95999908447266,98.08000183105469,98.20999908447266,282100,0.0,0
2021-03-26,BLV,97.80000305175781,98.26000213623047,97.74150085449219,98.0199966430664,177521,0.0,0
2021-03-19,BND,84.80000305175781,84.87000274658203,84.30000305175781,84.43000030517578,4969200,0.0,0
2021-03-22,BND,84.62999725341797,84.70999908447266,84.55000305175781,84.66999816894531,4748300,0.0,0
2021-03-23,BND,84.87000274658203,84.87999725341797,84.68000030517578,84.86000061035156,5148600,0.0,0
2021-03-24,BND,84.76000213623047,85.0,84.73999786376953,84.98999786376953,5148200,0.0,0
2021-03-25,BND,85.02999877929688,85.05999755859375,84.83000183105469,84.93000030517578,3876300,0.0,0
2021-03-26,BND,84.7603988647461,84.91500091552734,84.7300033569336,84.77999877929688,3373435,0.0,0
2021-03-19,BNDW,79.52999877929688,79.52999877929688,79.37999725341797,79.41000366210938,25800,0.0,0
2021-03-22,BNDW,79.55000305175781,79.62999725341797,79.5,79.58999633789062,39300,0.0,0
2021-03-23,BNDW,79.76000213623047,79.80000305175781,79.63999938964844,79.80000305175781,32900,0.0,0
2021-03-24,BNDW,79.7699966430664,79.91000366210938,79.70999908447266,79.91000366210938,19200,0.0,0
2021-03-25,BNDW,79.88999938964844,79.97000122070312,79.83000183105469,79.91000366210938,44500,0.0,0
2021-03-26,BNDW,79.7699966430664,79.8499984741211,79.69999694824219,79.80000305175781,42339,0.0,0
2021-03-19,BNDX,57.040000915527344,57.11000061035156,57.02000045776367,57.08000183105469,2113700,0.0,0
2021-03-22,BNDX,57.099998474121094,57.130001068115234,57.099998474121094,57.130001068115234,2764000,0.0,0
2021-03-23,BNDX,57.25,57.310001373291016,57.22999954223633,57.279998779296875,2634800,0.0,0
2021-03-24,BNDX,57.290000915527344,57.36000061035156,57.27000045776367,57.36000061035156,3515300,0.0,0
2021-03-25,BNDX,57.400001525878906,57.40999984741211,57.36000061035156,57.400001525878906,2136200,0.0,0
2021-03-26,BNDX,57.2400016784668,57.310001373291016,57.2400016784668,57.290000915527344,2683924,0.0,0
2021-03-19,BSV,82.1500015258789,82.2300033569336,82.12999725341797,82.18000030517578,2247500,0.0,0
2021-03-22,BSV,82.22000122070312,82.22000122070312,82.18000030517578,82.19999694824219,1732800,0.0,0
2021-03-23,BSV,82.23999786376953,82.2699966430664,82.22000122070312,82.2699966430664,1360900,0.0,0
2021-03-24,BSV,82.23999786376953,82.27999877929688,82.22000122070312,82.2699966430664,1636400,0.0,0
2021-03-25,BSV,82.27999877929688,82.30999755859375,82.25,82.30999755859375,1538400,0.0,0
2021-03-26,BSV,82.26000213623047,82.29000091552734,82.23999786376953,82.26000213623047,1747707,0.0,0
2021-03-19,EDV,123.0999984741211,124.0,122.83999633789062,123.91999816894531,642800,0.0,0
2021-03-22,EDV,125.16999816894531,126.0,124.77999877929688,125.81999969482422,254600,0.0,0
2021-03-23,EDV,126.20999908447266,127.4000015258789,125.80000305175781,127.16999816894531,350100,0.0,0
2021-03-24,EDV,127.08999633789062,128.5,126.8499984741211,128.49000549316406,256500,0.0,0
2021-03-25,EDV,128.67999267578125,128.9199981689453,126.91000366210938,127.04000091552734,306800,0.0,0
2021-03-26,EDV,126.01000213623047,127.11239624023438,125.81199645996094,126.5199966430664,112000,0.0,0
2021-03-19,VCEB,71.77999877929688,71.9000015258789,71.7300033569336,71.84500122070312,18800,0.0,0
2021-03-22,VCEB,72.08000183105469,72.2300033569336,72.0,72.10900115966797,4300,0.0,0
2021-03-23,VCEB,72.16000366210938,72.29100036621094,72.1050033569336,72.29100036621094,14400,0.0,0
2021-03-24,VCEB,72.18000030517578,72.4729995727539,72.18000030517578,72.4729995727539,6600,0.0,0
2021-03-25,VCEB,72.51000213623047,72.51000213623047,72.2699966430664,72.375,15800,0.0,0
2021-03-26,VCEB,72.25,72.3550033569336,72.28500366210938,72.3198013305664,21209,0.0,0
2021-03-19,VCIT,92.55999755859375,92.73999786376953,92.5,92.62000274658203,3994800,0.0,0
2021-03-22,VCIT,92.73999786376953,92.91000366210938,92.69999694824219,92.81999969482422,2723900,0.0,0
2021-03-23,VCIT,92.93000030517578,93.02999877929688,92.86000061035156,93.01000213623047,2822100,0.0,0
2021-03-24,VCIT,92.8499984741211,93.16999816894531,92.81999969482422,93.16000366210938,2320100,0.0,0
2021-03-25,VCIT,93.16000366210938,93.2300033569336,92.97000122070312,93.1500015258789,2259900,0.0,0
